# $Id: id.txt,v 1.63 2022/09/20 00:01:15 karn Exp $
1	VHF airspy
224840	K6VGP Johnstone PK DARN
224880  KB6TRD Santiago Pk
224900	WA1IRS Sunset Ridge
224920	KD6GNB Santee/kearny mesa
224940	KK6KD Chula Vista
224940  WA6DVG Mt Harvard
224960	KF6JWT Santiago Peak
243000	Emergency guard
254325	Miramar clearance
269100	SoCal Approach
269400  Montgomery twr
279625  SoCal Approach East
291700	LA Center
298925	Miramar twr
307325	Miramar gnd
338225 Lindbergh twr
352000 Miramar ATIS
363100 SoCal Approach West
474200	MF WSPR
1836600	160m WSPR
3592600	80m WSPR
5330500	60m channel 1
5346500	60m channel 2
5357000 60m channel 3
5371500 60m channel 4
5403500	60m channel 5
4449500 W6PUE Tahoe City
4449500 W6QWN Red Bluff
4449750 K6ME Susanville - Inspiration Point
4449750 W6BJ Meadow Lakes
4449750 WB6KHP Los Gatos - Santa Cruz Mountains
4449875 KA6GWY Georgetown - Rubicon Trail
4449875 KC6SOT Sebastopol
4449875 Tahoma - Spider Lake
4450200 KC6WZU Hollywood - Hollywood Hills
4450200 N6WZK Bell
4450200 W6CDF Cactus City
4450200 W6CDF Cedarpines Park - Jobs Peak
4450200 WA6HYQ La Mesa
4450400 K6HOG Contractors Pt
4450600 KB6OZX Riverside
4450600 NO6B Chatsworth Peak
4450800 KE6UPI Temecula
4450800 NO6B Diamond Bar
4451000 KI6DB Aliso Viejo
4451000 WD6AWP Chatsworth - Oat Mountain
4451000 WW6Y Lake Arrowhead - Heaps Peak
4451200 KK6HS Fullerton - Fullerton Hills
4451400 W6DXX San Gorgonio PAPA8
4451600 W6CTR Banning - Snow Peak
4451600 W6CTR Sylmar - Contractor's Point
4451600 W6CTR Sylmar - Contractor's Point
4451800 KJ6QFS Moreno Valley - Reche Peak
4451800 WB6ZTR Malibu - Saddle Peak
4452000 W6BJB Oceanside
4452000 WR6JPL Pasadena - JPL
4452200 K6NBR Newport Beach
4452200 KC6HUR Sun Valley
4452200 KE6PCV Corona
4452200 KF6ATL Fallbrook - Red Mountain
4452200 KI6CHH Lancaster
4452200 WI6Y Anaheim
4452400 KW6WW Wrightwood
4452400 WB6VMV El Segundo
4452600 K6VGP Verdugo Peak - Verdugo Peak
4452800 K6VGP San Pedro Hill DARN
4453000 AI6BX Redlands
4453000 K6RH Palos Verdes
4453000 W6CDF Temecula
4453000 W6JW Santa Clarita - Mad Mountain
4453200 WA6MDJ Culver City -  Baldwin Hills
4453400 AI6BX Redlands -  Sunset Drive
4453400 KC6JAR Sylmar - Contractors Point
4453400 N6RVI Spring Valley - Dictionary Hill
4453600 K6NX Seal Beach
4453600 W6JJR Crestline
4453800 K6CCC Glendale - Flint Peak
4453800 WA6LSE Moreno Valley - Box Springs
4454000 WD6DIH Irvine - Signal Peak
4454200 WD6FZA Saddle Peak PAPA4
4454400 W6UE Pasadena - Mirador Peak
4454600 K6LAM Chatsworth Peak
4454600 NO6B Lake Arrowhead
4454800 K6TEM Arcadia - Santa Anita Ridge
4454800 K6TZ Santa Barbara - La Vigia Hill
4454800 N6ND Palmdale - Hauser Peak
4455000 N6EX Santa Anita Ridge
4455200 K6BDE Pacific Palisades
4455200 K6KBF Buena Park - Knotts Berry Farm
4455200 K6LMA Palmdale
4455200 K6RIA Rialto - Fire station
4455400 WD6ABC Altadena - Mt Wilson
4455600 K6OPJ Chino
4455600 KG6SLC Quartz Hill - water tank
4455600 KI6AZQ Palomar Mountain - Palomar Observatory
4455600 W6KAT Whittier - Whittier Hills
4455600 WD6EBY Ojai - Sulphur Mountain
4455800 K6CPP Pomona
4455800 K6ERN Simi Valley - Mellow Lane
4455800 KC6WZU West Hollywood
4455800 W6VLD Huntington Beach - Boeing
4456000 K6CCR Culver City
4456000 K6LLU Loma Linda - LLUMC
4456000 KB6LJQ Ventura
4456000 KJ6W Palmdale - Ten-Hi
4456000 N6FQ Fallbrook - Red Mountain
4456000 WD6EBY Camarillo - Camarillo Hills
4456200 W6CDW Lake Elsinore - Elsinore Peak
4456200 W6HA El Segundo - Raytheon
4456200 WA6NVL Spring Valley - Dictionary Hill
4456400 K6IFR Palm Springs - Indio Hills
4456400 K6NYB Frazier Park
4456400 W6TOI Altadena
4456400 W6TOI Downey
4456400 WD6EBY Carpinteria - Rincon Mtn
4456600 K6EH Downey
4456600 K6SOA Laguna Beach - Temple Hill
4456800 KB6BZZ Apple Valley
4456800 N6DCR San Diego - Black Mtn
4456800 N6JLY Glendale - Mt Thom
4457000 K6AMS Running Springs
4457000 N6BMW Ojai - Sulphur Mountain
4457050 K6SOA Laguna Beach - Temple Hill
4457200 N6BMW Santa Paula
4457200 N6BMW Ventura
4457200 N6RPV Rancho Palos Verdes
4457400 K6JHX Agoura - Castro Peak
4457600 KD6DDM Corona - Sierra Peak
4457600 KD6RSQ Ramona
4457600 KI6HHU Channel Islands Harbor - Ventura
4457800 K6PIN Crestline
4457800 K6PIN Oat Mountain
4458000 W6RRN Chatsworth - Chatsworth Peak
4458000 WA6IBL Altadena - Mt Disappointment
4458200 K6VGP Saddle Peak
4458400 AF6TG Leona Valley
4458400 W6AJP Chino Hills
4458400 WD6EBY Chatsworth - Chatsworth Peak
4458550 KD4PAP Saddle Pk PAPA D04
4458600	Edom Hill PAPA18
4458600 K6PQN Upland
4458600 KI6MGN Palomar - Palomar Mtn
4458800 AA4CD San Marcos
4458800 K7FY Oat Mountain
4459000 KB6MRC Rosemead
4459000 KC4OGF Irvine
4459000 KC6TKA Canyon Country
4459000 N6RPG Phelan
4459000 WA6BGS El Cajon
4459200 KD6AFA Claremont - Sunset Ridge
4459400 W6CTR Hagador Peak
4459400 W6CTR Santa Ynez Peak
4459600 N6ENL Mt Woodson PAPA DMR
4459800 WZ6A Rancho Palos Verdes
4460200 W6FNO San Dimas - Johnstone Peak
4460400 KF6FM Pomona - Sunset Ridge
4460500 W6TRW Redondo Beach
4460600 K6EH Downey
4460600 K6EH Rancho Palos Verdes
4460600 N6GGS Victorville - Quartzite Mtn
4460625 K6TMD Pine Cove
4460625 N6GGS Victorville - Table Mtn
4460625 W6HDC El Cajon
4460625 WD6AML Cactus City
4461000 KB3PX Vista
4461000 N6LXX Claremont - Sunset Ridge
4461000 N6LXX San Diego - Mt San Miguel
4461000 WR6QZ Victorville - Quartzite Mountain
4461200 WB6MIE Santiago Peak
4461400 AA6DP Avalon - Buena Vista Pt
4461400 KB6CJZ Orange
4461400 W6SS San Diego
4461600 KC6ACS Pomona - ACS Enterprises
4461800 N6JOJ San Diego - Rattlesnake Peak
4462000 K6BB Big Bear GRONK
4462000 WA6TTL Santa Barbara - La Cumbre Peak
4462200 KI6QK Mt Lukens
4462400 K6VGP Mt Disappointment
4462600 N6CIZ Malibu - Saddle Peak
4462800 KF6JEE Woodside
4462800 WB6BJM Hollywood - Hollywood Hills
4463000 KB3PX Vista
4463000 N6SIM Claremont - Sunset Ridge
4463000 WR6CM Calico
4463200 AA4CD Santiago Peak
4463200 KI6HHU Tehachapi - Double Mtn
4463200 Pleasants Peak PAPA22
4463250 WA6UEO Ventura - Red Mtn
4463400 KI6WZX Running Springs  - Keller Peak
4463400	Thousand Oaks PAPA26
4463600 Mt Woodson PAPA15
4463800 W6XC Chatsworth - Chatsworth Peak
4463800 WR6TM Baker - Halloran Summit
4464000 K6TZ Santa Barbara - La Vigia Hill
4464000 KD6PXZ Quartz Hill
4464000 WA6FZH San Dimas - Johnstone Peak
4464000 WA6FZH Seal Beach
4464000 WA6ITC Big Bear City
4464200 K6KTA Mt Laguna - Stephenson Pk
4464200 KK6SMA Hemet - Highway 74
4464200 KK6SMA Moreno Valley
4464200 W6YJ Malibu - Saddle Peak
4464200 WA6ITC Big Bear City
4464400 K6QEH Fullerton - Raytheon Bldg 606
4464600 KI6DYV Mt Disappointment WINS
4464800 K4ELE Claremont - Sunset Ridge
4465000 ?
4465400 N6MIK Yorba Linda
4465400 WB6DNX Brea - Brea Civic Center
4465600	KJ6GRS Santiago PAPA D03
4465600 WD8CIK Hollywood
4465800 WD6FZA Oat Mt PAPA1 Blu Rg 14
4466000 W6GTR Loma Linda Hospital 
4466000 W6XC Diablo Peak
4466200 WA6TTL San Fernando - Loop Canyon
4466400 KF6PHX Santiago Peak
4466600 WA6TTL Chatsworth Peak
4466800 WA6LWW Oat Mountain
4467000 Elsinore Peak PAPA 24
4467000 WD6FZA Palos Verdes PAPA23
4467200 KB6CRE Palomar PAPA9
4467400 K6VGP Palmdale - Ten-Hi
4467400 K6VGP Rancho Palos Verdes
4467600 WD6FZA Santiago PAPA3/6
4467800 WA6LWW Altadena - Mt Wilson
