# $Id: bandplan.txt,v 1.10 2021/03/06 19:39:45 karn Exp $
# Ham bandplans, for frequency checking
# Note: Novices have special mode and power limits not shown here
# bot   top     description
160.75	b.025	Marine 3 (land)
160.775	b.025	Marine 63 (land)
160.8	b.025	Marine 4 (land)
160.825	b.025	Marine 64 (land)
160.85	b.025	Marine 5 (land)
160.875	b.025	Marine 65 (land)

160.925	b.025	Marine 66 (land)
160.95	b.025	Marine 7 (land)

161.425	b.025	Marine M2/P4 (simplex)

161.5	b.025	Marine 18 (land)
161.525	b.025	Marine 78 (land)
161.55	b.025	Marine 19 (land)
161.575	b.025	Marine 79 (land)
161.6	b.025	Marine 20 (land)
161.625	b.025	Marine 80 (land)
161.65	b.025	Marine 21/WX8 (land USCG)
161.675	b.025	Marine 81 (land)
161.7	b.025	Marine 22 (land USCG working)
161.725	b.025	Marine 82 (land)
161.75	b.025	Marine 23 (land USCG)
161.775	b.025	Marine 83/WX9 (land)
161.8	b.025	Marine 24 (land)
161.825	b.025	Marine 84 (land)
161.85	b.025	Marine 25 (land)
161.875	b.025	Marine 85 (land)
161.9	b.025	Marine 26 (land)
161.925	b.025	Marine 86 (land)
161.95	b.025	Marine 27 (land)
161.975	b.025	Marine 87B (simplex AIS)
162.0	b.025	Marine 28 (land)
162.025	b.025	Marine 88B (simplex AIS)

162.15	b.025	Marine 31 (land)


162.4	b.025	Marine 36B/WX2
162.425	b.025	Marine 96B/WX4
162.45  b.025	Marine 37B/WX5
162.475 b.025	Marine 97B/WX3
162.5	b.025	Marine 38B/WX6
162.525	b.025	Marine 98B/WX7
162.55	b.025	Marine 39B/WX1

163.275	b.025	Marine 113B/WX10

174	180	TV Channel 7
180	186	TV Channel 8
186	192	TV Channel 9
192	198	TV Channel 10
198	204	TV Channel 11
204	210	TV Channel 12
210	216	TV Channel 13


219	220	1.25m ham Tech Data only
222	225	1.25m ham Novice

420	450	70cm ham Tech

470	476	TV Channel 14
476	482	TV Channel 15
482	488	TV Channel 16
488	494	TV Channel 17
494	500	TV Channel 18
500	506	TV Channel 19
506	512	TV Channel 20
512	518	TV Channel 21
518	524	TV Channel 22
524	530	TV Channel 23
530	536	TV Channel 24
536	542	TV Channel 25
542	548	TV Channel 26
548	554	TV Channel 27
554	560	TV Channel 28
560	566	TV Channel 29
566	572	TV Channel 30
572	578	TV Channel 31
578	584	TV Channel 32
584	590	TV Channel 33
590	596	TV Channel 34
596	602	TV Channel 35
602	608	TV Channel 36
608	614	TV Channel 37 (radio astronomy)
614	620	TV Channel 38
620	626	TV Channel 39
626	632	TV Channel 40
632	638	TV Channel 41
638	644	TV Channel 42
644	650	TV Channel 43
650	656	TV Channel 44
656	662	TV Channel 45
662	668	TV Channel 46
668	674	TV Channel 47
674	680	TV Channel 48
680	686	TV Channel 49
686	692	TV Channel 50
692	698	TV Channel 51

902	928	33cm ham Tech

1240	1270	23cm ham Tech
1270	1295	23cm ham Novice
1295	1300	23cm ham Tech

2300	2310	13cm ham Tech
2390	2450	13cm ham Tech

3300	3500	10cm ham Tech
5650	5925	5cm ham Tech
10000	10500	3cm ham Tech
24000	24250	1cm ham Tech
47000	47200	47G ham Tech
76000	81000	76G ham Tech
122250	123000	122G ham Tech
134000	141000	134G ham Tech
241000	250000	241G ham Tech
275000	999999	275G ham Tech



